Circoscrizione,Aesculus hippocastanum,Carpinus betulus,Celtis australis,Others,Platanus x hispanica,Tilia cordata
SARDAGNA,0.0,0.0,0.0,38.0,0.0,0.0
POVO,13.0,1.0,21.0,151.0,2.0,1.0
MEANO,0.0,2.0,9.0,185.0,9.0,1.0
MATTARELLO,1.0,13.0,25.0,213.0,6.0,6.0
BONDONE,21.0,3.0,1.0,256.0,2.0,9.0
RAVINA-ROMAGNANO,3.0,5.0,15.0,239.0,23.0,34.0
VILLAZZANO,0.0,33.0,19.0,326.0,3.0,35.0
ARGENTARIO,9.0,18.0,61.0,349.0,12.0,5.0
GARDOLO,4.0,53.0,211.0,998.0,169.0,216.0
OLTREFERSINA,34.0,126.0,341.0,2047.0,31.0,116.0
CENTRO STORICO PIEDICASTELLO,91.0,159.0,242.0,2225.0,192.0,55.0
S.GIUSEPPE-S.CHIARA,405.0,123.0,83.0,2329.0,53.0,31.0
