Circoscrizione,Celtis australis,Aesculus hippocastanum,Carpinus betulus,Tilia cordata,Platanus x hispanica,Others
SARDAGNA,0.0,0.0,0.0,0.0,0.0,100.0
POVO,11.11,6.88,0.53,0.53,1.06,79.89
MEANO,4.37,0.0,0.97,0.49,4.37,89.81
MATTARELLO,9.47,0.38,4.92,2.27,2.27,80.68
BONDONE,0.34,7.19,1.03,3.08,0.68,87.67
RAVINA-ROMAGNANO,4.7,0.94,1.57,10.66,7.21,74.92
VILLAZZANO,4.57,0.0,7.93,8.41,0.72,78.37
ARGENTARIO,13.44,1.98,3.96,1.1,2.64,76.87
GARDOLO,12.78,0.24,3.21,13.08,10.24,60.45
OLTREFERSINA,12.65,1.26,4.68,4.3,1.15,75.96
CENTRO STORICO PIEDICASTELLO,8.16,3.07,5.36,1.86,6.48,75.07
S.GIUSEPPE-S.CHIARA,2.74,13.39,4.07,1.03,1.75,77.02
