Height,CanopySize,Diameter
3.5,1.8,8.0
5.0,1.8,8.0
4.5,1.8,9.0
5.0,4.9,11.0
8.0,1.8,25.0
4.5,1.8,9.0
4.0,3.1,10.0
4.0,3.1,10.0
3.5,1.8,9.0
5.0,3.1,10.0
5.0,4.9,10.0
4.0,3.1,8.0
5.0,3.1,9.0
3.0,1.8,9.0
4.0,3.1,10.0
4.5,1.8,9.0
5.0,3.1,15.0
4.5,7.1,8.0
5.0,7.1,11.0
5.0,7.1,11.0
4.0,3.1,7.0
6.0,28.3,18.0
7.0,28.3,17.0
7.0,28.3,17.0
7.0,19.6,14.0
4.0,7.1,5.0
6.0,7.1,12.0
6.0,9.6,12.0
5.0,4.9,9.0
5.0,4.9,10.0
5.0,4.9,10.0
5.0,3.1,4.0
5.0,7.1,10.0
5.0,7.1,12.0
5.0,0.8,2.0
5.0,3.1,4.0
6.0,3.1,5.0
8.0,3.1,8.0
4.0,7.1,10.0
4.0,3.1,4.0
4.0,3.1,4.0
4.5,1.8,7.0
4.5,1.8,7.0
4.5,1.8,8.0
4.5,1.8,8.0
4.5,1.8,8.0
4.5,1.8,8.0
3.5,3.1,8.0
4.5,1.8,7.0
5.0,3.1,6.0
5.0,3.1,6.0
4.5,7.1,8.0
4.5,4.9,10.0
4.5,0.8,8.0
4.5,3.1,8.0
5.0,7.1,11.0
5.0,7.1,11.0
5.0,7.1,11.0
4.5,7.1,8.0
2.0,0.8,8.0
5.0,3.1,9.9
5.0,3.1,9.9
4.5,3.1,7.0
4.5,3.1,7.0
5.0,7.1,11.0
5.0,7.1,11.0
4.5,4.9,9.0
4.5,4.9,10.0
4.5,4.9,10.0
5.0,4.9,10.0
4.5,4.9,10.0
5.0,4.9,11.0
5.0,4.9,11.0
5.0,4.9,11.0
5.0,7.1,11.0
5.0,7.1,11.0
5.0,7.1,11.0
5.0,4.9,11.0
5.0,4.9,11.0
5.0,12.6,18.0
5.0,7.1,18.0
5.0,12.6,18.0
5.0,12.6,18.0
4.0,7.1,12.0
6.0,12.6,13.0
6.0,12.6,13.0
6.0,19.6,19.0
10.0,0.8,14.0
10.0,0.8,14.0
10.0,0.8,14.0
4.5,3.1,11.0
4.0,1.8,11.0
5.0,12.6,11.0
4.5,7.1,10.0
5.0,12.6,10.0
5.0,12.6,10.0
4.0,12.6,10.0
5.0,12.6,10.0
5.0,12.6,10.0
5.0,12.6,10.0
13.0,153.9,35.0
8.0,28.3,16.0
6.0,12.6,13.0
