Species,Height,Diameter,Leaf_area,Canopy_size,CO2
Tilia cordata,4.5,8.0,9.5,7.1,0.8
Tilia cordata,5.0,11.0,13.3,7.1,1.3
Tilia cordata,5.0,11.0,11.8,7.1,1.3
Tilia cordata,4.0,7.0,4.9,3.1,0.7
Tilia cordata,6.0,18.0,71.4,28.3,2.4
Tilia cordata,7.0,17.0,73.3,28.3,2.3
Tilia cordata,7.0,17.0,69.1,28.3,2.3
Tilia cordata,7.0,14.0,34.4,19.6,1.7
Tilia cordata,4.5,8.0,10.8,7.1,0.8
Tilia cordata,4.5,10.0,7.2,4.9,1.1
Tilia cordata,4.5,8.0,3.0,0.8,0.8
Tilia cordata,4.5,8.0,6.4,3.1,0.8
Tilia cordata,5.0,11.0,13.3,7.1,1.3
Tilia cordata,5.0,11.0,13.3,7.1,1.3
Tilia cordata,5.0,11.0,12.5,7.1,1.3
Tilia cordata,4.5,8.0,11.5,7.1,0.8
Tilia cordata,2.0,8.0,1.4,0.8,0.8
Tilia cordata,4.5,7.0,4.7,3.1,0.7
Tilia cordata,4.5,7.0,5.8,3.1,0.7
Tilia cordata,5.0,11.0,13.3,7.1,1.3
Tilia cordata,5.0,11.0,11.0,7.1,1.3
Tilia cordata,4.5,9.0,9.0,4.9,1.0
Tilia cordata,4.5,10.0,8.3,4.9,1.1
Tilia cordata,4.5,10.0,8.3,4.9,1.1
Tilia cordata,5.0,10.0,8.0,4.9,1.1
Tilia cordata,4.5,10.0,9.3,4.9,1.1
Tilia cordata,5.0,11.0,10.0,4.9,1.3
Tilia cordata,5.0,11.0,7.7,4.9,1.3
Tilia cordata,5.0,11.0,7.7,4.9,1.3
Tilia cordata,5.0,11.0,13.3,7.1,1.3
Tilia cordata,5.0,11.0,11.0,7.1,1.3
Tilia cordata,5.0,11.0,10.2,7.1,1.3
Tilia cordata,5.0,11.0,7.7,4.9,1.3
Tilia cordata,5.0,11.0,8.9,4.9,1.3
Tilia cordata,6.0,13.0,24.1,12.6,1.6
Tilia cordata,6.0,13.0,25.5,12.6,1.6
Tilia cordata,6.0,19.0,47.2,19.6,2.6
Carpinus betulus,4.5,11.0,8.0,3.1,1.9
Carpinus betulus,4.0,11.0,5.7,1.8,1.9
Carpinus betulus,5.0,11.0,25.3,12.6,1.9
Carpinus betulus,4.5,10.0,13.9,7.1,1.7
Tilia cordata,5.0,10.0,21.9,12.6,1.1
Tilia cordata,5.0,10.0,21.9,12.6,1.1
Tilia cordata,4.0,10.0,19.4,12.6,1.1
Tilia cordata,5.0,10.0,21.9,12.6,1.1
Tilia cordata,5.0,10.0,19.4,12.6,1.1
Tilia cordata,5.0,10.0,21.9,12.6,1.1
Carpinus betulus,4.0,11.0,13.9,7.1,1.9
Carpinus betulus,4.0,11.0,12.3,7.1,1.9
Carpinus betulus,4.5,12.0,22.4,12.6,2.1
Celtis australis,6.0,16.0,43.9,28.3,0.8
Celtis australis,6.0,16.0,57.0,28.3,0.8
Celtis australis,6.0,166.0,115.3,28.3,0.1
Celtis australis,5.5,14.0,34.3,19.6,0.8
Celtis australis,6.5,16.0,55.0,28.3,0.8
Celtis australis,4.5,19.0,36.2,19.6,1.0
Celtis australis,5.0,17.0,31.7,19.6,0.9
Celtis australis,4.5,17.0,34.9,19.6,0.9
Celtis australis,4.5,15.0,33.3,19.6,0.8
Celtis australis,4.0,15.0,19.8,12.6,0.8
Celtis australis,4.0,14.0,14.9,12.6,0.8
Celtis australis,4.0,14.0,14.9,12.6,0.8
Celtis australis,4.0,14.0,19.3,12.6,0.8
Celtis australis,4.0,14.0,19.3,12.6,0.8
Celtis australis,4.0,13.0,14.5,12.6,0.7
Tilia cordata,8.0,15.0,65.0,28.3,1.9
Tilia cordata,8.0,15.0,60.8,28.3,1.9
Tilia cordata,10.0,24.0,154.2,50.3,3.6
Celtis australis,9.0,38.0,400.9,153.9,1.6
Celtis australis,8.0,32.0,309.0,113.1,1.4
Celtis australis,8.0,32.0,309.0,113.1,1.4
Platanus x hispanica,15.0,40.0,285.4,63.6,11.3
Tilia cordata,7.0,18.0,61.9,28.3,2.4
Tilia cordata,7.0,18.0,74.8,28.3,2.4
Tilia cordata,7.0,18.0,74.8,28.3,2.4
Tilia cordata,7.0,18.0,70.5,28.3,2.4
Tilia cordata,7.0,18.0,66.2,28.3,2.4
Tilia cordata,6.0,15.0,40.9,19.6,1.9
Tilia cordata,6.0,15.0,43.4,19.6,1.9
Tilia cordata,6.0,15.0,25.3,12.6,1.9
Tilia cordata,6.0,15.0,38.4,19.6,1.9
Tilia cordata,7.0,19.0,63.1,28.3,2.6
Tilia cordata,7.0,19.0,67.5,28.3,2.6
Tilia cordata,7.0,19.0,76.2,28.3,2.6
Tilia cordata,7.0,14.0,39.5,19.6,1.7
Tilia cordata,6.0,15.0,23.8,12.6,1.9
Tilia cordata,6.0,10.0,17.9,12.6,1.1
Tilia cordata,8.0,18.0,78.4,28.3,2.4
Tilia cordata,8.0,15.0,25.1,12.6,1.9
Tilia cordata,8.0,15.0,28.6,12.6,1.9
Tilia cordata,8.0,15.0,30.3,12.6,1.9
Tilia cordata,8.0,18.0,30.5,12.6,2.4
Tilia cordata,8.0,18.0,32.3,12.6,2.4
Tilia cordata,5.0,9.0,12.4,7.1,1.0
Tilia cordata,7.0,17.0,29.8,12.6,2.3
Tilia cordata,5.0,13.0,10.9,7.1,1.6
Tilia cordata,7.0,13.0,22.4,12.6,1.6
Carpinus betulus,12.0,20.0,24.3,7.1,3.9
Carpinus betulus,12.0,20.0,29.4,7.1,3.9
Carpinus betulus,12.0,20.0,29.4,7.1,3.9
Carpinus betulus,8.0,20.0,18.6,7.1,3.9
Carpinus betulus,8.0,20.0,22.5,7.1,3.9
Carpinus betulus,8.0,20.0,22.5,7.1,3.9
Carpinus betulus,6.0,10.0,12.7,7.1,1.7
Carpinus betulus,6.0,10.0,15.4,7.1,1.7
Carpinus betulus,6.0,10.0,13.6,7.1,1.7
Carpinus betulus,6.0,10.0,13.6,7.1,1.7
Carpinus betulus,6.0,10.0,11.8,7.1,1.7
Carpinus betulus,6.0,4.0,6.3,3.1,0.6
Carpinus betulus,6.0,4.0,5.6,3.1,0.6
Carpinus betulus,6.0,4.0,5.6,3.1,0.6
Carpinus betulus,6.0,4.0,5.9,3.1,0.6
Carpinus betulus,6.0,4.0,4.8,3.1,0.6
Carpinus betulus,6.0,4.0,5.9,3.1,0.6
Carpinus betulus,6.0,4.0,4.8,3.1,0.6
Carpinus betulus,8.0,10.0,17.6,7.1,1.7
Carpinus betulus,6.0,20.0,16.3,7.1,3.9
Carpinus betulus,4.0,10.0,11.1,7.1,1.7
Carpinus betulus,15.0,25.0,58.4,12.6,5.3
Carpinus betulus,15.0,35.0,53.7,12.6,6.1
Carpinus betulus,15.0,10.0,28.2,7.1,1.7
Carpinus betulus,8.0,10.0,14.6,7.1,1.7
Carpinus betulus,15.0,20.0,47.4,12.6,3.9
Carpinus betulus,8.0,10.0,16.6,7.1,1.7
Carpinus betulus,8.0,15.0,33.9,12.6,2.7
Carpinus betulus,4.0,7.0,4.8,1.8,1.1
Carpinus betulus,4.0,7.0,4.3,1.8,1.1
Carpinus betulus,4.0,7.0,3.7,1.8,1.1
Carpinus betulus,4.0,7.0,4.0,1.8,1.1
Carpinus betulus,4.0,7.0,4.8,1.8,1.1
Carpinus betulus,4.0,7.0,4.8,1.8,1.1
Carpinus betulus,4.0,7.0,4.8,1.8,1.1
Carpinus betulus,4.0,7.0,4.8,1.8,1.1
Carpinus betulus,4.0,7.0,4.0,1.8,1.1
Carpinus betulus,4.0,7.0,4.8,1.8,1.1
Carpinus betulus,4.0,7.0,4.8,1.8,1.1
Celtis australis,10.0,15.0,14.3,7.1,0.8
Celtis australis,10.0,15.0,17.3,7.1,0.8
Celtis australis,12.0,20.0,20.6,7.1,1.0
Celtis australis,18.0,80.0,109.6,19.6,1.2
Celtis australis,8.0,20.0,16.7,7.1,1.0
Celtis australis,8.0,20.0,16.7,7.1,1.0
Celtis australis,8.0,20.0,14.8,7.1,1.0
Celtis australis,6.0,15.0,11.7,7.1,0.8
Tilia x europaea,5.0,7.0,8.5,4.9,1.6
Tilia x europaea,5.0,7.0,8.5,4.9,1.6
Tilia x europaea,5.0,7.0,7.0,4.9,1.6
Tilia x europaea,5.0,7.0,7.5,4.9,1.6
Tilia x europaea,5.0,7.0,7.0,4.9,1.6
Tilia x europaea,5.0,7.0,8.0,4.9,1.6
