Species,Height,Diameter,Leaf_area,CO2,Canopy_size
Tilia cordata,4.5,8.0,9.5,0.8,7.1
Tilia cordata,5.0,11.0,13.3,1.3,7.1
Tilia cordata,5.0,11.0,11.8,1.3,7.1
Tilia cordata,4.0,7.0,4.9,0.7,3.1
Tilia cordata,6.0,18.0,71.4,2.4,28.3
Tilia cordata,7.0,17.0,73.3,2.3,28.3
Tilia cordata,7.0,17.0,69.1,2.3,28.3
Tilia cordata,7.0,14.0,34.4,1.7,19.6
Tilia cordata,4.5,8.0,10.8,0.8,7.1
Tilia cordata,4.5,10.0,7.2,1.1,4.9
Tilia cordata,4.5,8.0,3.0,0.8,0.8
Tilia cordata,4.5,8.0,6.4,0.8,3.1
Tilia cordata,5.0,11.0,13.3,1.3,7.1
Tilia cordata,5.0,11.0,13.3,1.3,7.1
Tilia cordata,5.0,11.0,12.5,1.3,7.1
Tilia cordata,4.5,8.0,11.5,0.8,7.1
Tilia cordata,2.0,8.0,1.4,0.8,0.8
Tilia cordata,4.5,7.0,4.7,0.7,3.1
Tilia cordata,4.5,7.0,5.8,0.7,3.1
Tilia cordata,5.0,11.0,13.3,1.3,7.1
Tilia cordata,5.0,11.0,11.0,1.3,7.1
Tilia cordata,4.5,9.0,9.0,1.0,4.9
Tilia cordata,4.5,10.0,8.3,1.1,4.9
Tilia cordata,4.5,10.0,8.3,1.1,4.9
Tilia cordata,5.0,10.0,8.0,1.1,4.9
Tilia cordata,4.5,10.0,9.3,1.1,4.9
Tilia cordata,5.0,11.0,10.0,1.3,4.9
Tilia cordata,5.0,11.0,7.7,1.3,4.9
Tilia cordata,5.0,11.0,7.7,1.3,4.9
Tilia cordata,5.0,11.0,13.3,1.3,7.1
Tilia cordata,5.0,11.0,11.0,1.3,7.1
Tilia cordata,5.0,11.0,10.2,1.3,7.1
Tilia cordata,5.0,11.0,7.7,1.3,4.9
Tilia cordata,5.0,11.0,8.9,1.3,4.9
Tilia cordata,6.0,13.0,24.1,1.6,12.6
Tilia cordata,6.0,13.0,25.5,1.6,12.6
Tilia cordata,6.0,19.0,47.2,2.6,19.6
Carpinus betulus,4.5,11.0,8.0,1.9,3.1
Carpinus betulus,4.0,11.0,5.7,1.9,1.8
Carpinus betulus,5.0,11.0,25.3,1.9,12.6
Carpinus betulus,4.5,10.0,13.9,1.7,7.1
Tilia cordata,5.0,10.0,21.9,1.1,12.6
Tilia cordata,5.0,10.0,21.9,1.1,12.6
Tilia cordata,4.0,10.0,19.4,1.1,12.6
Tilia cordata,5.0,10.0,21.9,1.1,12.6
Tilia cordata,5.0,10.0,19.4,1.1,12.6
Tilia cordata,5.0,10.0,21.9,1.1,12.6
Carpinus betulus,4.0,11.0,13.9,1.9,7.1
Carpinus betulus,4.0,11.0,12.3,1.9,7.1
Carpinus betulus,4.5,12.0,22.4,2.1,12.6
Celtis australis,6.0,16.0,43.9,0.8,28.3
Celtis australis,6.0,16.0,57.0,0.8,28.3
Celtis australis,6.0,166.0,115.3,0.1,28.3
Celtis australis,5.5,14.0,34.3,0.8,19.6
Celtis australis,6.5,16.0,55.0,0.8,28.3
Celtis australis,4.5,19.0,36.2,1.0,19.6
Celtis australis,5.0,17.0,31.7,0.9,19.6
Celtis australis,4.5,17.0,34.9,0.9,19.6
Celtis australis,4.5,15.0,33.3,0.8,19.6
Celtis australis,4.0,15.0,19.8,0.8,12.6
Celtis australis,4.0,14.0,14.9,0.8,12.6
Celtis australis,4.0,14.0,14.9,0.8,12.6
Celtis australis,4.0,14.0,19.3,0.8,12.6
Celtis australis,4.0,14.0,19.3,0.8,12.6
Celtis australis,4.0,13.0,14.5,0.7,12.6
Tilia cordata,8.0,15.0,65.0,1.9,28.3
Tilia cordata,8.0,15.0,60.8,1.9,28.3
Tilia cordata,10.0,24.0,154.2,3.6,50.3
Celtis australis,9.0,38.0,400.9,1.6,153.9
Celtis australis,8.0,32.0,309.0,1.4,113.1
Celtis australis,8.0,32.0,309.0,1.4,113.1
Platanus x hispanica,15.0,40.0,285.4,11.3,63.6
Tilia cordata,7.0,18.0,61.9,2.4,28.3
Tilia cordata,7.0,18.0,74.8,2.4,28.3
Tilia cordata,7.0,18.0,74.8,2.4,28.3
Tilia cordata,7.0,18.0,70.5,2.4,28.3
Tilia cordata,7.0,18.0,66.2,2.4,28.3
Tilia cordata,6.0,15.0,40.9,1.9,19.6
Tilia cordata,6.0,15.0,43.4,1.9,19.6
Tilia cordata,6.0,15.0,25.3,1.9,12.6
Tilia cordata,6.0,15.0,38.4,1.9,19.6
Tilia cordata,7.0,19.0,63.1,2.6,28.3
Tilia cordata,7.0,19.0,67.5,2.6,28.3
Tilia cordata,7.0,19.0,76.2,2.6,28.3
Tilia cordata,7.0,14.0,39.5,1.7,19.6
Tilia cordata,6.0,15.0,23.8,1.9,12.6
Tilia cordata,6.0,10.0,17.9,1.1,12.6
Tilia cordata,8.0,18.0,78.4,2.4,28.3
Tilia cordata,8.0,15.0,25.1,1.9,12.6
Tilia cordata,8.0,15.0,28.6,1.9,12.6
Tilia cordata,8.0,15.0,30.3,1.9,12.6
Tilia cordata,8.0,18.0,30.5,2.4,12.6
Tilia cordata,8.0,18.0,32.3,2.4,12.6
Tilia cordata,5.0,9.0,12.4,1.0,7.1
Tilia cordata,7.0,17.0,29.8,2.3,12.6
Tilia cordata,5.0,13.0,10.9,1.6,7.1
Tilia cordata,7.0,13.0,22.4,1.6,12.6
Carpinus betulus,12.0,20.0,24.3,3.9,7.1
Carpinus betulus,12.0,20.0,29.4,3.9,7.1
Carpinus betulus,12.0,20.0,29.4,3.9,7.1
Carpinus betulus,8.0,20.0,18.6,3.9,7.1
Carpinus betulus,8.0,20.0,22.5,3.9,7.1
Carpinus betulus,8.0,20.0,22.5,3.9,7.1
Carpinus betulus,6.0,10.0,12.7,1.7,7.1
Carpinus betulus,6.0,10.0,15.4,1.7,7.1
Carpinus betulus,6.0,10.0,13.6,1.7,7.1
Carpinus betulus,6.0,10.0,13.6,1.7,7.1
Carpinus betulus,6.0,10.0,11.8,1.7,7.1
Carpinus betulus,6.0,4.0,6.3,0.6,3.1
Carpinus betulus,6.0,4.0,5.6,0.6,3.1
Carpinus betulus,6.0,4.0,5.6,0.6,3.1
Carpinus betulus,6.0,4.0,5.9,0.6,3.1
Carpinus betulus,6.0,4.0,4.8,0.6,3.1
Carpinus betulus,6.0,4.0,5.9,0.6,3.1
Carpinus betulus,6.0,4.0,4.8,0.6,3.1
Carpinus betulus,8.0,10.0,17.6,1.7,7.1
Carpinus betulus,6.0,20.0,16.3,3.9,7.1
Carpinus betulus,4.0,10.0,11.1,1.7,7.1
Carpinus betulus,15.0,25.0,58.4,5.3,12.6
Carpinus betulus,15.0,35.0,53.7,6.1,12.6
Carpinus betulus,15.0,10.0,28.2,1.7,7.1
Carpinus betulus,8.0,10.0,14.6,1.7,7.1
Carpinus betulus,15.0,20.0,47.4,3.9,12.6
Carpinus betulus,8.0,10.0,16.6,1.7,7.1
Carpinus betulus,8.0,15.0,33.9,2.7,12.6
Carpinus betulus,4.0,7.0,4.8,1.1,1.8
Carpinus betulus,4.0,7.0,4.3,1.1,1.8
Carpinus betulus,4.0,7.0,3.7,1.1,1.8
Carpinus betulus,4.0,7.0,4.0,1.1,1.8
Carpinus betulus,4.0,7.0,4.8,1.1,1.8
Carpinus betulus,4.0,7.0,4.8,1.1,1.8
Carpinus betulus,4.0,7.0,4.8,1.1,1.8
Carpinus betulus,4.0,7.0,4.8,1.1,1.8
Carpinus betulus,4.0,7.0,4.0,1.1,1.8
Carpinus betulus,4.0,7.0,4.8,1.1,1.8
Carpinus betulus,4.0,7.0,4.8,1.1,1.8
Celtis australis,10.0,15.0,14.3,0.8,7.1
Celtis australis,10.0,15.0,17.3,0.8,7.1
Celtis australis,12.0,20.0,20.6,1.0,7.1
Celtis australis,18.0,80.0,109.6,1.2,19.6
Celtis australis,8.0,20.0,16.7,1.0,7.1
Celtis australis,8.0,20.0,16.7,1.0,7.1
Celtis australis,8.0,20.0,14.8,1.0,7.1
Celtis australis,6.0,15.0,11.7,0.8,7.1
Celtis australis,8.0,24.0,112.0,1.1,50.3
Carpinus betulus,4.5,9.0,7.7,1.5,4.9
Carpinus betulus,4.5,9.0,8.3,1.5,4.9
Carpinus betulus,5.0,10.0,6.2,1.7,3.1
Carpinus betulus,5.0,10.0,13.5,1.7,7.1
Carpinus betulus,5.0,10.0,6.7,1.7,3.1
Tilia cordata,4.0,6.0,3.4,0.6,1.8
Tilia cordata,4.0,6.0,3.0,0.6,0.8
Tilia cordata,6.0,13.0,19.7,1.6,12.6
Platanus x hispanica,11.0,29.0,251.9,7.1,78.5
Carpinus betulus,4.0,9.0,8.0,1.5,4.9
Carpinus betulus,4.5,12.0,11.4,2.1,7.1
Carpinus betulus,4.5,9.0,6.2,1.5,3.1
Tilia cordata,4.0,12.0,9.9,1.4,7.1
Tilia cordata,1.0,8.0,0.3,0.8,0.2
Tilia cordata,6.0,16.0,68.5,2.1,28.3
Tilia cordata,5.0,9.0,4.5,1.0,1.8
