Height,Diameter,Canopy_size,Leaf_area
3.5,8.0,1.8,3.5
5.0,8.0,1.8,4.2
4.5,9.0,1.8,4.0
5.0,11.0,4.9,7.1
8.0,25.0,1.8,6.6
4.5,9.0,1.8,4.2
4.0,10.0,3.1,4.8
4.0,10.0,3.1,5.8
3.5,9.0,1.8,3.9
5.0,10.0,3.1,6.2
5.0,10.0,4.9,9.3
4.0,8.0,3.1,4.7
5.0,9.0,3.1,6.7
3.0,9.0,1.8,2.9
4.0,10.0,3.1,4.4
4.5,9.0,1.8,4.2
5.0,15.0,3.1,4.0
4.5,8.0,7.1,9.5
5.0,11.0,7.1,13.3
5.0,11.0,7.1,11.8
4.0,7.0,3.1,4.9
6.0,18.0,28.3,71.4
7.0,17.0,28.3,73.3
7.0,17.0,28.3,69.1
7.0,14.0,19.6,34.4
4.0,5.0,7.1,6.2
6.0,12.0,7.1,9.7
6.0,12.0,9.6,16.5
5.0,9.0,4.9,7.1
5.0,10.0,4.9,7.9
5.0,10.0,4.9,7.4
5.0,4.0,3.1,3.5
5.0,10.0,7.1,8.5
5.0,12.0,7.1,11.8
5.0,2.0,0.8,1.6
5.0,4.0,3.1,4.0
6.0,5.0,3.1,5.2
8.0,8.0,3.1,7.2
4.0,10.0,7.1,10.4
4.0,4.0,3.1,3.2
4.0,4.0,3.1,3.2
4.5,7.0,1.8,3.6
4.5,7.0,1.8,3.0
4.5,8.0,1.8,3.4
4.5,8.0,1.8,3.8
4.5,8.0,1.8,2.9
4.5,8.0,1.8,3.8
3.5,8.0,3.1,4.2
4.5,7.0,1.8,3.6
5.0,6.0,3.1,5.2
5.0,6.0,3.1,5.2
4.5,8.0,7.1,10.8
4.5,10.0,4.9,7.2
4.5,8.0,0.8,3.0
4.5,8.0,3.1,6.4
5.0,11.0,7.1,13.3
5.0,11.0,7.1,13.3
5.0,11.0,7.1,12.5
4.5,8.0,7.1,11.5
2.0,8.0,0.8,1.4
5.0,9.9,3.1,4.2
5.0,9.9,3.1,4.2
4.5,7.0,3.1,4.7
4.5,7.0,3.1,5.8
5.0,11.0,7.1,13.3
5.0,11.0,7.1,11.0
4.5,9.0,4.9,9.0
4.5,10.0,4.9,8.3
4.5,10.0,4.9,8.3
5.0,10.0,4.9,8.0
4.5,10.0,4.9,9.3
5.0,11.0,4.9,10.0
5.0,11.0,4.9,7.7
5.0,11.0,4.9,7.7
5.0,11.0,7.1,13.3
5.0,11.0,7.1,11.0
5.0,11.0,7.1,10.2
5.0,11.0,4.9,7.7
5.0,11.0,4.9,8.9
5.0,18.0,12.6,18.4
5.0,18.0,7.1,8.9
5.0,18.0,12.6,18.4
5.0,18.0,12.6,18.4
4.0,12.0,7.1,8.7
6.0,13.0,12.6,24.1
6.0,13.0,12.6,25.5
6.0,19.0,19.6,47.2
10.0,14.0,0.8,4.3
10.0,14.0,0.8,3.5
10.0,14.0,0.8,3.8
4.5,11.0,3.1,8.0
4.0,11.0,1.8,5.7
5.0,11.0,12.6,25.3
4.5,10.0,7.1,13.9
5.0,10.0,12.6,21.9
5.0,10.0,12.6,21.9
4.0,10.0,12.6,19.4
5.0,10.0,12.6,21.9
5.0,10.0,12.6,19.4
5.0,10.0,12.6,21.9
13.0,35.0,153.9,294.6
8.0,16.0,28.3,63.4
6.0,13.0,12.6,21.5
6.0,13.0,12.6,17.6
5.0,16.0,12.6,10.0
6.0,25.0,28.3,33.4
6.0,22.0,28.3,36.4
4.0,11.0,7.1,8.4
7.0,18.0,19.6,42.7
7.0,18.0,19.6,42.7
6.0,18.0,19.6,35.9
6.0,11.0,12.6,21.1
6.0,15.0,19.6,29.3
6.0,15.0,19.6,38.0
7.0,18.0,19.6,32.9
6.0,11.0,12.6,21.1
7.0,18.0,28.3,61.7
4.0,11.0,7.1,13.9
14.0,19.0,0.8,4.5
14.0,19.0,0.8,4.8
14.0,19.0,0.8,4.8
14.0,19.0,0.8,4.8
14.0,19.0,0.8,3.7
14.0,19.0,0.8,4.0
4.0,11.0,7.1,12.3
4.5,12.0,12.6,22.4
6.0,12.0,12.6,14.4
10.0,20.0,19.6,44.8
10.0,25.0,19.6,58.6
6.0,18.0,12.6,20.1
10.0,25.0,19.6,58.6
6.0,16.0,28.3,43.9
6.0,16.0,28.3,57.0
15.0,80.0,113.1,408.5
9.0,24.0,28.3,68.4
6.0,18.0,12.6,21.6
16.0,65.0,50.3,167.8
6.0,166.0,28.3,115.3
5.5,14.0,19.6,34.3
6.5,16.0,28.3,55.0
8.0,16.0,12.6,24.2
13.0,28.0,38.5,97.5
9.0,18.0,19.6,35.1
14.0,50.0,78.5,269.8
14.0,42.0,113.1,284.4
4.5,19.0,19.6,36.2
5.0,17.0,19.6,31.7
4.5,17.0,19.6,34.9
4.5,15.0,19.6,33.3
1.0,5.0,0.8,0.8
15.0,22.0,63.6,160.5
12.0,18.0,19.6,61.5
5.0,11.0,7.1,10.6
12.0,25.0,78.5,236.9
12.0,32.0,50.3,195.1
12.0,28.0,50.3,167.6
12.0,32.0,113.1,315.8
13.0,38.0,50.3,213.2
6.0,16.0,12.6,19.3
5.0,15.0,7.1,10.4
5.0,15.0,7.1,11.2
5.0,12.0,7.1,12.5
7.0,17.0,12.6,27.1
7.0,16.0,12.6,20.4
7.0,18.0,12.6,27.6
7.0,18.0,12.6,24.4
7.0,18.0,12.6,22.8
11.0,18.0,50.3,115.4
5.0,13.0,7.1,12.8
15.0,40.0,63.6,256.4
12.0,20.0,12.6,38.7
8.0,14.0,28.3,61.8
12.0,22.0,50.3,152.1
14.0,40.0,78.5,350.1
3.0,9.0,7.1,8.5
3.0,9.0,7.1,11.0
3.0,10.0,7.1,11.5
3.0,10.0,7.1,11.5
3.5,10.0,7.1,9.3
3.5,10.0,7.1,7.2
3.0,9.0,3.1,3.8
3.0,10.0,3.1,5.1
3.0,8.0,1.8,3.1
3.0,8.0,1.8,2.7
3.0,8.0,3.1,4.7
3.0,8.0,1.8,3.1
3.0,8.0,1.8,2.6
3.0,8.0,1.8,3.1
3.0,8.0,1.8,2.9
3.0,8.0,1.8,3.1
3.0,8.0,1.8,3.1
5.0,18.0,19.6,30.6
4.0,16.0,12.6,22.1
4.0,15.0,12.6,19.8
4.0,14.0,12.6,14.9
4.0,14.0,12.6,14.9
4.0,14.0,12.6,19.3
4.0,14.0,12.6,19.3
4.0,13.0,12.6,14.5
15.0,46.0,113.1,417.0
8.0,15.0,28.3,65.0
8.0,15.0,28.3,60.8
10.0,24.0,50.3,154.2
8.0,32.0,28.3,76.0
9.0,38.0,153.9,400.9
8.0,32.0,113.1,309.0
8.0,32.0,113.1,309.0
10.0,32.0,50.3,157.4
10.0,16.0,0.8,4.5
14.0,34.0,3.1,16.6
14.0,44.0,3.1,15.8
4.0,8.0,0.8,2.1
4.0,8.0,0.8,2.2
15.0,40.0,63.6,285.4
8.0,21.0,38.5,109.4
11.0,28.0,78.5,262.5
4.0,13.0,12.6,11.4
3.5,10.0,4.9,3.9
4.0,17.0,7.1,7.3
5.0,21.0,12.6,11.0
6.0,12.0,7.1,11.1
6.5,16.0,12.6,22.9
5.0,9.0,4.9,7.5
7.0,14.0,12.6,21.0
6.0,13.0,7.1,13.0
6.5,15.0,12.6,25.3
7.0,16.0,12.6,26.7
6.5,12.0,12.6,22.0
6.5,12.0,12.6,18.0
6.5,14.0,12.6,19.0
6.5,14.0,12.6,19.0
6.5,12.0,12.6,18.0
7.0,17.0,12.6,24.1
6.0,16.0,7.1,14.0
4.0,9.0,1.8,4.1
5.0,13.0,12.6,22.0
6.0,13.0,12.6,23.3
7.0,16.0,12.6,26.7
7.0,16.0,12.6,23.6
4.5,12.0,3.1,5.6
5.0,12.0,12.6,20.1
7.0,19.0,12.6,28.3
4.0,9.0,3.1,5.2
3.5,8.0,1.8,4.0
7.0,18.0,12.6,27.8
6.0,13.0,7.1,11.4
7.0,18.0,28.3,61.9
7.0,18.0,28.3,74.8
7.0,18.0,28.3,74.8
7.0,18.0,28.3,70.5
7.0,18.0,28.3,66.2
6.0,15.0,19.6,40.9
6.0,15.0,19.6,43.4
6.0,15.0,12.6,25.3
6.0,15.0,19.6,38.4
7.0,19.0,28.3,63.1
7.0,19.0,28.3,67.5
7.0,19.0,28.3,76.2
7.0,14.0,19.6,39.5
8.0,15.0,63.6,168.8
6.0,15.0,12.6,23.8
6.0,10.0,12.6,17.9
8.0,18.0,28.3,78.4
8.0,15.0,12.6,25.1
8.0,15.0,12.6,28.6
8.0,15.0,12.6,30.3
8.0,18.0,12.6,30.5
8.0,18.0,12.6,32.3
5.0,9.0,7.1,12.4
7.0,17.0,12.6,29.8
5.0,13.0,7.1,10.9
6.0,24.0,50.3,98.3
6.0,24.0,50.3,113.0
6.0,18.0,38.5,77.3
7.0,26.0,78.5,177.1
6.0,19.0,28.3,56.8
6.0,19.0,28.3,47.0
6.0,19.0,28.3,56.8
6.0,19.0,28.3,56.8
6.0,19.0,28.3,43.7
6.0,19.0,28.3,56.8
6.0,21.0,28.3,55.4
7.0,24.0,38.5,94.5
6.0,21.0,28.3,55.4
6.0,21.0,28.3,45.3
7.0,27.0,38.5,81.5
6.0,16.0,28.3,53.4
8.0,32.0,50.3,116.1
7.0,13.0,12.6,22.4
5.0,10.0,3.1,5.1
6.0,12.0,7.1,11.1
6.0,12.0,7.1,12.6
6.0,12.0,7.1,10.3
5.0,10.0,4.9,8.3
12.0,20.0,7.1,24.3
12.0,20.0,7.1,29.4
12.0,20.0,7.1,29.4
8.0,20.0,7.1,18.6
