Species,Height,Diameter,Canopy_size,Leaf_area
Tilia cordata,4.5,8.0,7.1,9.5
Tilia cordata,5.0,11.0,7.1,13.3
Tilia cordata,5.0,11.0,7.1,11.8
Tilia cordata,4.0,7.0,3.1,4.9
Tilia cordata,6.0,18.0,28.3,71.4
Tilia cordata,7.0,17.0,28.3,73.3
Tilia cordata,7.0,17.0,28.3,69.1
Tilia cordata,7.0,14.0,19.6,34.4
Tilia cordata,4.5,8.0,7.1,10.8
Tilia cordata,4.5,10.0,4.9,7.2
Tilia cordata,4.5,8.0,0.8,3.0
Tilia cordata,4.5,8.0,3.1,6.4
Tilia cordata,5.0,11.0,7.1,13.3
Tilia cordata,5.0,11.0,7.1,13.3
Tilia cordata,5.0,11.0,7.1,12.5
Tilia cordata,4.5,8.0,7.1,11.5
Tilia cordata,2.0,8.0,0.8,1.4
Tilia cordata,4.5,7.0,3.1,4.7
Tilia cordata,4.5,7.0,3.1,5.8
Tilia cordata,5.0,11.0,7.1,13.3
Tilia cordata,5.0,11.0,7.1,11.0
Tilia cordata,4.5,9.0,4.9,9.0
Tilia cordata,4.5,10.0,4.9,8.3
Tilia cordata,4.5,10.0,4.9,8.3
Tilia cordata,5.0,10.0,4.9,8.0
Tilia cordata,4.5,10.0,4.9,9.3
Tilia cordata,5.0,11.0,4.9,10.0
Tilia cordata,5.0,11.0,4.9,7.7
Tilia cordata,5.0,11.0,4.9,7.7
Tilia cordata,5.0,11.0,7.1,13.3
Tilia cordata,5.0,11.0,7.1,11.0
Tilia cordata,5.0,11.0,7.1,10.2
Tilia cordata,5.0,11.0,4.9,7.7
Tilia cordata,5.0,11.0,4.9,8.9
Tilia cordata,6.0,13.0,12.6,24.1
Tilia cordata,6.0,13.0,12.6,25.5
Tilia cordata,6.0,19.0,19.6,47.2
Carpinus betulus,4.5,11.0,3.1,8.0
Carpinus betulus,4.0,11.0,1.8,5.7
Carpinus betulus,5.0,11.0,12.6,25.3
Carpinus betulus,4.5,10.0,7.1,13.9
Tilia cordata,5.0,10.0,12.6,21.9
Tilia cordata,5.0,10.0,12.6,21.9
Tilia cordata,4.0,10.0,12.6,19.4
Tilia cordata,5.0,10.0,12.6,21.9
Tilia cordata,5.0,10.0,12.6,19.4
Tilia cordata,5.0,10.0,12.6,21.9
Carpinus betulus,4.0,11.0,7.1,13.9
Carpinus betulus,4.0,11.0,7.1,12.3
Carpinus betulus,4.5,12.0,12.6,22.4
Celtis australis,6.0,16.0,28.3,43.9
Celtis australis,6.0,16.0,28.3,57.0
Celtis australis,6.0,166.0,28.3,115.3
Celtis australis,5.5,14.0,19.6,34.3
Celtis australis,6.5,16.0,28.3,55.0
Celtis australis,4.5,19.0,19.6,36.2
Celtis australis,5.0,17.0,19.6,31.7
Celtis australis,4.5,17.0,19.6,34.9
Celtis australis,4.5,15.0,19.6,33.3
Celtis australis,4.0,15.0,12.6,19.8
Celtis australis,4.0,14.0,12.6,14.9
Celtis australis,4.0,14.0,12.6,14.9
Celtis australis,4.0,14.0,12.6,19.3
Celtis australis,4.0,14.0,12.6,19.3
Celtis australis,4.0,13.0,12.6,14.5
Tilia cordata,8.0,15.0,28.3,65.0
Tilia cordata,8.0,15.0,28.3,60.8
Tilia cordata,10.0,24.0,50.3,154.2
Celtis australis,9.0,38.0,153.9,400.9
Celtis australis,8.0,32.0,113.1,309.0
Celtis australis,8.0,32.0,113.1,309.0
Platanus x hispanica,15.0,40.0,63.6,285.4
Tilia cordata,7.0,18.0,28.3,61.9
Tilia cordata,7.0,18.0,28.3,74.8
Tilia cordata,7.0,18.0,28.3,74.8
Tilia cordata,7.0,18.0,28.3,70.5
Tilia cordata,7.0,18.0,28.3,66.2
Tilia cordata,6.0,15.0,19.6,40.9
Tilia cordata,6.0,15.0,19.6,43.4
Tilia cordata,6.0,15.0,12.6,25.3
Tilia cordata,6.0,15.0,19.6,38.4
Tilia cordata,7.0,19.0,28.3,63.1
Tilia cordata,7.0,19.0,28.3,67.5
Tilia cordata,7.0,19.0,28.3,76.2
Tilia cordata,7.0,14.0,19.6,39.5
Tilia cordata,6.0,15.0,12.6,23.8
Tilia cordata,6.0,10.0,12.6,17.9
Tilia cordata,8.0,18.0,28.3,78.4
Tilia cordata,8.0,15.0,12.6,25.1
Tilia cordata,8.0,15.0,12.6,28.6
Tilia cordata,8.0,15.0,12.6,30.3
Tilia cordata,8.0,18.0,12.6,30.5
Tilia cordata,8.0,18.0,12.6,32.3
Tilia cordata,5.0,9.0,7.1,12.4
