Circoscrizione,area,Canopy_Cover,density,Count
ARGENTARIO,13199398,12416.10000000007,0.000940656536002632,454
BONDONE,36949609,5979.600000000029,0.00016183121179983334,292
CENTRO STORICO PIEDICASTELLO,8599464,131189.10000000492,0.015255497319368384,2964
GARDOLO,8817959,27279.4999999996,0.0030936297163549524,1651
MATTARELLO,16409555,4995.4000000000215,0.0003044201990852294,264
MEANO,15712181,3136.0999999999935,0.00019959673326064623,206
OLTREFERSINA,6962104,87988.80000000297,0.012638248437541721,2695
POVO,15433274,2866.8999999999937,0.000185760973335923,189
RAVINA-ROMAGNANO,16687779,6289.500000000055,0.00037689257509942184,319
S.GIUSEPPE-S.CHIARA,3073349,93333.1000000023,0.03036853282852104,3024
SARDAGNA,8663138,389.20000000000016,4.4925984094908815e-05,38
VILLAZZANO,7342864,6352.500000000016,0.0008651256512445302,416
