year,month,min,max,avg
1993,1,-9.0,12.0,0.43548387096774194
1993,2,-6.0,11.0,1.6428571428571428
1993,3,-5.0,27.0,8.0
1993,4,-1.0,30.0,13.183333333333334
1993,5,6.0,34.0,17.983870967741936
1993,6,10.0,32.0,20.966666666666665
1993,7,8.0,32.0,21.580645161290324
1993,8,7.0,37.0,23.161290322580644
1993,9,6.0,29.0,16.8
1993,10,-1.0,21.0,10.64516129032258
1993,11,-7.0,16.0,4.85
1993,12,-11.0,10.0,0.3064516129032258
1997,1,-6.0,8.0,1.2419354838709677
1997,2,-7.0,14.0,3.3392857142857144
1997,3,-2.0,25.0,10.161290322580646
1997,4,-1.0,26.0,11.7
1997,5,5.0,32.0,17.048387096774192
1997,6,8.0,32.0,19.55
1997,7,9.0,33.0,21.403225806451612
1997,8,10.0,35.0,22.580645161290324
1997,9,6.0,33.0,19.7
1997,10,-5.0,26.0,11.016129032258064
1997,11,-3.0,16.0,5.333333333333333
1997,12,-7.0,13.0,2.1451612903225805
2001,1,-8.0,9.0,1.3225806451612903
2001,2,-6.0,14.0,4.071428571428571
2001,3,-1.0,22.0,9.790322580645162
2001,4,0.0,24.0,11.366666666666667
2001,5,7.0,34.0,19.43548387096774
2001,6,6.0,34.0,20.033333333333335
2001,7,12.0,36.0,23.56451612903226
2001,8,10.0,34.0,23.451612903225808
2001,9,3.0,28.0,15.316666666666666
2001,10,5.0,22.0,13.451612903225806
2001,11,-6.0,17.0,3.7
2001,12,-11.0,13.0,-0.9193548387096774
2005,1,-6.7,11.0,0.7161290322580645
2005,2,-6.8,12.2,2.4714285714285715
2005,3,-8.2,26.2,8.51290322580645
2005,4,2.9,27.3,13.003333333333334
2005,5,7.4,32.8,18.99516129032258
2005,6,10.0,37.3,23.258333333333333
2005,7,12.8,35.6,23.71451612903226
2005,8,12.2,33.2,21.906451612903226
2005,9,9.6,32.5,19.398333333333333
2005,10,2.9,19.6,12.100000000000001
2005,11,-4.8,14.6,5.425
2005,12,-9.6,8.8,-0.3758064516129031
2009,1,-8.9,10.2,1.4596774193548387
2009,2,-4.8,16.7,4.130357142857143
2009,3,-0.6,19.2,8.77258064516129
2009,4,6.0,25.2,14.058333333333334
2009,5,9.5,33.6,20.080645161290324
2009,6,10.0,31.7,21.53666666666667
2009,7,13.1,33.9,22.940322580645162
2009,8,13.4,33.5,24.125806451612902
2009,9,10.0,30.1,19.235
2009,10,0.6,24.7,12.985483870967743
2009,11,-1.4,14.0,7.411666666666666
2009,12,-9.5,12.2,2.1629032258064513
2013,1,-3.3,17.7,3.1500000000000004
2013,2,-3.4,12.6,3.130357142857143
2013,3,-0.8,16.0,7.446774193548387
2013,4,3.5,26.8,13.911666666666667
2013,5,5.1,26.5,15.824193548387097
2013,6,10.1,33.4,20.761666666666667
2013,7,13.7,35.8,24.82741935483871
2013,8,13.3,36.0,23.60483870967742
2013,9,9.3,29.5,18.790000000000003
2013,10,5.2,20.1,13.793548387096774
2013,11,-4.4,17.6,8.556666666666667
2013,12,-3.5,15.5,4.130645161290323
2017,1,-7.7,9.3,0.682258064516129
2017,2,-0.8,13.8,6.458928571428571
2017,3,1.2,24.0,12.114516129032259
2017,4,3.6,24.0,13.881666666666666
2017,5,5.8,31.2,18.78548387096774
2017,6,9.8,33.7,23.245
2017,7,12.2,33.7,23.456451612903226
2017,8,13.4,35.5,23.62741935483871
2017,9,7.1,25.9,16.631666666666668
2017,10,2.4,21.3,13.530645161290321
2017,11,-3.5,13.8,6.551666666666666
2017,12,-6.7,10.1,1.182258064516129
2021,1,-9.4,8.2,0.019354838709677406
2021,2,-4.4,18.9,5.823214285714286
2021,3,-1.5,25.3,8.901612903225805
2021,4,-0.7,25.6,11.826666666666666
2021,5,7.0,26.6,15.774193548387096
2021,6,13.1,33.6,23.658333333333335
2021,7,14.4,33.5,23.04032258064516
2021,8,9.6,32.9,21.388709677419353
2021,9,11.1,29.7,19.578333333333333
2021,10,1.7,22.0,11.94516129032258
2021,11,-2.3,14.1,7.1433333333333335
2021,12,-5.7,11.5,2.8403225806451613
